Tmax_b1,Tmax_b5,DTR_b4,GDD_b6,Tave_b2,DTR_b2,Tave_b1,RH_b5,Tmax_b4,SSR_b3,R5max_b4,Tmin_b3,RR10_a,Tmin_b2,GDD_b4,Tave_b4,CDD_b4,CDD_b2,Tmin_b5,R5max_b1,Tave_b3,R5max_b3,GDD_b5
-0.8907572175287088,2.2436585217942997,1.137717477151114,1.0319746857301189,-0.3894843099117434,0.04057443341642811,-0.9647985832077828,0.22053009938736484,0.1911901659654323,0.4979767961988231,-0.6896848838922662,-0.9049373591593745,-1.722635096222047,-1.2692652734470913,-0.3654093367747776,-0.36540933677478055,-0.17411776042795687,-0.6919959037314876,1.3467695434276965,1.1646107689189054,0.15961668244654048,-1.4310392908101224,1.305729623793591
0.16236161849870367,-0.2848808009611834,0.35770052725984275,0.9516698132453759,-0.629289050160546,0.34201001335682146,-0.7302116282063642,0.3305122015572077,-0.1447636654161681,0.8330372275863828,0.9234983903563095,-0.03621909352395346,-1.4969842295138953,-1.7096125351292373,-0.415943368631758,-0.41594336863175874,-0.7888403559330744,-1.0503270399929483,1.441309904784731,0.8226410769072696,-0.4099739118840492,-1.5446017603395203,0.9809604095529368
-0.33317089771552155,0.220680435942996,1.2882218459490489,1.014141926102078,-0.8527252183785032,0.16101698512394536,-0.8678881690942237,0.6577198463763327,0.49660058547568625,1.0704594429849261,0.3543873249524353,-0.6283383962661915,-1.4847331387833007,-0.8997566622051287,-0.11620765009571586,-0.11620765009572133,-0.7349880979085897,-1.0154163953374236,1.121518945582296,0.8943274833533312,-1.1367066829211419,-1.592849555255886,0.8802855912003152
-0.807541879498653,0.016286000664434534,1.1346157555402265,0.9424138709582948,-1.1906424551645125,0.2571316790033035,-1.109626522386351,0.4533553192902511,0.17039080268469048,1.8233679023783225,0.4143270666746869,0.19035010133261807,-0.8765781934340103,-1.422800098301768,-0.1888616675444881,-0.1888616675444882,-1.3361625103568482,-1.5236861401954644,1.0864238762957712,-0.11977078395661579,-0.6502193342367137,-1.7852234885903824,0.8382844761344562
-1.5994594565094624,1.8268555969158409,1.33020976145097,0.8582088139091109,-1.6446311312744586,0.11445352070259115,-1.9237516996627972,0.22913232880129702,1.321081816987974,1.1711930866667453,0.5059858919696958,-0.16107570861965811,-1.6352488722349607,-1.3366743227847306,-0.4962832855028638,-0.49628328550286127,0.28129099227409965,-0.4955932461425111,1.5888732399318894,0.10412205395387164,0.33694953812815726,-1.7500756940342974,1.4706571000468642
-1.6086155152160202,1.6691217651559875,0.73916505183544,0.9409249705026175,-1.6981538929439555,-0.020810753217948123,-1.7925220225011953,0.09799930585395175,0.9687132517596733,1.618427330441485,0.10194537552700289,-0.1558033323526517,-1.4759926674596628,-1.3420492951428296,-0.7678004335372569,-0.7678004335372647,0.35367626072376396,-0.5083970981642302,1.5261178003904423,-0.004624579235778888,0.12816289409670692,-1.978333669077581,1.4571540726722212
-1.6682044617317568,1.454405327830599,0.38903872020446517,1.030623027504594,-1.6678108417874602,0.1444023033498238,-1.7283518538482858,-0.030435415900001452,0.9959700384429213,1.6612550879900747,-0.050150630771135365,-0.2820817217906337,-1.49469332060889,-1.7854651601794613,-0.7968115099022114,-0.796811509902211,0.3883685545498493,-0.7523655193233048,1.1348362229278197,-0.07197667858529336,-0.055874820168196386,-1.7876679784732945,1.4098637745246005
-1.2496307667192228,0.8388935154124952,-0.1432205417500941,0.7445603613650317,-1.558911222143268,-0.31923466915266574,-1.3178692290346716,0.2301086721241405,0.16316635456444115,1.7195537884032368,-0.12054045669377732,-0.5428818313945305,-1.181163788625124,-1.0347706620533275,-0.8058474927184218,-0.8058474927184146,1.5080498926978836,-1.308752515614849,0.9137786464419936,-0.08688881818187645,0.18397752896595063,-1.6641833227739942,1.173540033260595
-1.342052188539805,0.8554259736004908,-0.015746184711813663,0.7737984738296968,-1.6743132247492034,0.25455184193131464,-1.554224573215208,0.15734583476154768,0.35334820457551863,1.4221916384091697,0.13301109408983516,-0.810829077823822,-1.623906361568765,-1.3769943271516654,-0.8638316944299661,-0.8638316944299652,1.3178026282889672,-1.0411783004413855,0.6317264750048759,-0.24465359727197267,0.22070439757861604,-1.4016820043024252,1.2242637072892306
-0.6775464238572458,1.1132395277813527,0.37608576142492073,0.46038979479711867,-1.907322685016867,0.02269964189974915,-1.5986293090962074,0.41254584548539763,0.7711940541065536,1.3971881420607442,-0.6331057173423769,-1.2064299976231307,-1.7637010572946925,-1.436566857877895,-0.9804394741366479,-0.9804394741366497,0.48129794833771705,-0.6860768538689194,0.32361470777362783,-0.29565438352373424,-0.21051872643984854,-1.1655052443227105,1.3523812505286206
